"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Apr-2022","EQ","380.00","391.50","378.60","377.45","389.70","389.90","386.52","602.05","321.00",3409690,"1,317,914,992.60",35404
"12-Apr-2022","EQ","387.00","387.45","372.50","385.95","377.25","377.45","378.65","602.05","321.00",2125154,"804,698,013.35",29115
"11-Apr-2022","EQ","385.10","388.80","383.30","383.30","386.30","385.95","385.83","602.05","321.00",1541976,"594,940,923.85",19961
"08-Apr-2022","EQ","385.80","386.00","377.90","383.50","383.90","383.30","381.79","602.05","321.00",2570196,"981,280,040.50",35632
"07-Apr-2022","EQ","385.00","388.70","381.65","382.25","383.90","383.50","385.16","602.05","321.00",2337554,"900,323,885.25",30560
"06-Apr-2022","EQ","390.00","396.40","380.60","389.30","382.50","382.25","386.44","602.05","321.00",4399603,"1,700,161,029.25",55739
"05-Apr-2022","EQ","395.00","395.10","386.60","391.95","388.20","389.30","390.66","602.05","321.00",2799174,"1,093,518,934.10",27692
"04-Apr-2022","EQ","384.80","392.95","383.00","380.40","391.75","391.95","389.33","602.05","321.00",2529886,"984,962,448.85",38210
"01-Apr-2022","EQ","375.95","381.25","372.50","373.15","380.50","380.40","377.40","602.05","321.00",1616436,"610,042,673.85",23483
"31-Mar-2022","EQ","375.00","384.70","371.25","373.25","372.00","373.15","376.67","602.05","321.00",3121345,"1,175,703,252.65",45442
"30-Mar-2022","EQ","373.50","377.00","368.25","369.20","376.00","373.25","372.68","602.05","321.00",5883277,"2,192,558,044.70",53186
"29-Mar-2022","EQ","368.50","375.70","367.10","365.80","369.40","369.20","370.89","602.05","321.00",2626771,"974,230,850.65",33641
"28-Mar-2022","EQ","367.80","373.00","361.00","367.80","366.00","365.80","365.16","602.05","321.00",2319462,"846,976,632.50",30720
"25-Mar-2022","EQ","380.00","380.80","366.05","377.40","368.10","367.80","370.36","602.05","321.00",2131453,"789,411,513.15",32451
"24-Mar-2022","EQ","375.20","379.75","373.85","373.85","376.50","377.40","376.42","602.05","321.00",1922950,"723,827,920.40",26221
"23-Mar-2022","EQ","374.95","385.00","372.30","370.90","372.70","373.85","377.74","602.05","321.00",3928921,"1,484,095,742.45",53280
"22-Mar-2022","EQ","375.55","376.80","368.00","374.20","371.10","370.90","371.52","602.05","321.00",2308678,"857,715,265.80",35945
"21-Mar-2022","EQ","392.00","392.90","372.80","391.95","374.00","374.20","379.66","602.05","321.00",3398768,"1,290,381,105.20",49089
"17-Mar-2022","EQ","394.50","397.85","390.95","390.55","392.35","391.95","393.96","602.05","321.00",3037279,"1,196,561,858.35",40188
"16-Mar-2022","EQ","383.00","392.50","380.45","382.30","391.00","390.55","388.29","602.05","321.00",3218325,"1,249,657,038.50",45207
"15-Mar-2022","EQ","400.15","400.95","381.00","398.20","381.85","382.30","389.13","602.05","321.00",3452311,"1,343,400,777.15",49136
