"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Apr-2022","EQ","897.45","945.00","890.25","883.95","907.00","912.60","922.39","1,138.00","644.55",6457314,"5,956,142,053.10",173306
"12-Apr-2022","EQ","803.00","896.80","796.90","803.60","878.00","883.95","860.21","1,138.00","644.55",5617803,"4,832,478,719.85",148257
"11-Apr-2022","EQ","794.00","824.75","794.00","793.30","806.80","803.60","811.03","1,138.00","644.55",689687,"559,356,478.90",18524
"08-Apr-2022","EQ","793.95","807.60","790.00","793.95","793.00","793.30","796.35","1,138.00","644.55",374689,"298,383,538.85",10406
"07-Apr-2022","EQ","811.40","816.90","790.45","811.10","792.90","793.95","800.24","1,138.00","644.55",487987,"390,507,586.35",16230
"06-Apr-2022","EQ","774.00","825.00","771.00","782.20","811.00","811.10","807.18","1,138.00","644.55",1619512,"1,307,236,891.90",43709
"05-Apr-2022","EQ","765.80","793.85","765.80","762.30","780.50","782.20","779.52","1,138.00","644.55",788702,"614,811,044.00",18876
"04-Apr-2022","EQ","760.00","777.40","753.10","757.70","765.80","762.30","765.99","1,138.00","644.55",638823,"489,330,601.95",17546
"01-Apr-2022","EQ","711.40","763.90","711.40","711.40","756.00","757.70","744.58","1,138.00","644.55",992406,"738,923,899.30",26532
"31-Mar-2022","EQ","713.70","727.00","710.00","712.80","712.00","711.40","718.28","1,138.00","644.55",467892,"336,076,851.45",9517
"30-Mar-2022","EQ","726.05","736.90","708.00","716.65","712.00","712.80","719.31","1,138.00","644.55",699736,"503,324,813.15",14112
"29-Mar-2022","EQ","731.00","734.65","712.00","724.35","721.00","716.65","721.08","1,138.00","644.55",375209,"270,556,984.75",12555
"28-Mar-2022","EQ","747.00","747.00","720.00","741.30","725.00","724.35","727.47","1,138.00","644.55",308905,"224,717,737.40",10180
"25-Mar-2022","EQ","742.70","747.90","731.00","737.40","740.10","741.30","739.83","1,138.00","644.55",224059,"165,764,590.45",7373
"24-Mar-2022","EQ","748.60","748.60","731.00","748.60","738.00","737.40","741.08","1,138.00","644.55",227356,"168,489,524.60",9511
"23-Mar-2022","EQ","754.70","767.05","745.00","749.40","749.70","748.60","754.76","1,138.00","644.55",293482,"221,508,654.40",8696
"22-Mar-2022","EQ","764.40","764.40","745.10","760.75","750.00","749.40","751.40","1,138.00","644.55",221112,"166,143,560.25",7261
"21-Mar-2022","EQ","778.70","783.55","754.00","771.10","761.90","760.75","768.56","1,138.00","644.55",255159,"196,104,681.35",10201
"17-Mar-2022","EQ","770.00","789.50","760.00","755.60","771.90","771.10","772.19","1,138.00","644.55",606022,"467,961,545.25",19653
"16-Mar-2022","EQ","761.00","769.40","751.20","746.75","756.00","755.60","758.17","1,138.00","644.55",221279,"167,766,131.50",8352
"15-Mar-2022","EQ","760.00","770.90","733.85","753.95","748.20","746.75","754.47","1,138.00","644.55",375171,"283,056,602.55",13997
"14-Mar-2022","EQ","769.40","775.80","750.55","767.50","755.00","753.95","759.14","1,138.00","644.55",305283,"231,752,035.15",12570
"11-Mar-2022","EQ","768.00","772.75","760.90","772.00","765.00","767.50","766.93","1,138.00","644.55",196988,"151,076,348.20",7961
"10-Mar-2022","EQ","788.00","788.00","764.10","769.50","768.30","772.00","776.33","1,138.00","644.55",278281,"216,038,383.90",10499
"09-Mar-2022","EQ","762.00","779.35","752.15","756.80","763.00","769.50","768.24","1,138.00","644.55",423594,"325,423,441.40",14647
